ticker,report_date,report_type,company_name,source_url
PSDL,2026-09-24,INTERIM,Phoenix Spree Deutschland Ltd.,https://quartr.com/companies/phoenix-spree-deutschland-limited_20666?utm_source=api&utm_medium=25
SAAS,2026-09-24,INTERIM,Microlise Group PLC,https://quartr.com/companies/microlise-group-plc_19854?utm_source=api&utm_medium=25
AC8,2026-09-24,INTERIM,Acceler8 Ventures Plc,https://quartr.com/companies/acceler8-ventures-plc_14279?utm_source=api&utm_medium=25
SEE,2026-09-24,PRELIM,Seeing Machines Ltd.,https://quartr.com/companies/seeing-machines-limited_13501?utm_source=api&utm_medium=25
STVG,2026-09-24,INTERIM,STV Group PLC,https://quartr.com/companies/stv-group-plc_14323?utm_source=api&utm_medium=25
BOKU,2026-09-25,INTERIM,Boku Inc.,https://quartr.com/companies/boku-inc_16474?utm_source=api&utm_medium=25
DGI9,2026-09-25,INTERIM,Digital 9 Infrastructure PLC,https://quartr.com/companies/digital-9-infrastructure-plc_15076?utm_source=api&utm_medium=25
AREC,2026-09-25,INTERIM,Arecor Therapeutics PLC,https://quartr.com/companies/arecor-therapeutics-plc_19769?utm_source=api&utm_medium=25
ASLI,2026-09-25,INTERIM,Abrdn European Logistics Income PLC,https://quartr.com/companies/abrdn-european-logistics-income-plc_14276?utm_source=api&utm_medium=25
IMM,2026-09-25,INTERIM,ImmuPharma PLC,https://quartr.com/companies/immupharma-plc_19978?utm_source=api&utm_medium=25
EKF,2026-09-25,INTERIM,EKF Diagnostics Holdings PLC,https://quartr.com/companies/ekf-diagnostics-holdings-plc_14747?utm_source=api&utm_medium=25
SEA,2026-09-25,INTERIM,Seascape Energy Asia PLC,https://quartr.com/companies/seascape-energy-asia-plc_16487?utm_source=api&utm_medium=25
MEX,2026-09-25,INTERIM,Tortilla Mexican Grill PLC,https://quartr.com/companies/tortilla-mexican-grill-plc_14453?utm_source=api&utm_medium=25
PINT,2026-09-25,INTERIM,Pantheon Infrastructure PLC,https://quartr.com/companies/pantheon-infrastructure-plc_14142?utm_source=api&utm_medium=25
OBI,2026-09-25,INTERIM,Ondine Biomedical Inc.,https://quartr.com/companies/ondine-biomedical-inc_16121?utm_source=api&utm_medium=25
THAL,2026-09-25,INTERIM,Thalassa Holdings Ltd.,https://quartr.com/companies/thalassa-holdings-limited_14308?utm_source=api&utm_medium=25
CWR,2026-09-25,INTERIM,Ceres Power Holdings PLC,https://quartr.com/companies/ceres-power-holdings-plc_12031?utm_source=api&utm_medium=25
SCGL,2026-09-25,INTERIM,Sealand Capital Galaxy Ltd.,https://quartr.com/companies/sealand-capital-galaxy-limited_14341?utm_source=api&utm_medium=25
COIL,2026-09-29,INTERIM,Coiled Therapeutics PLC,https://quartr.com/companies/coiled-therapeutics-plc_20448?utm_source=api&utm_medium=25
VLG,2026-09-29,EARNINGS,Venture Life Group PLC,https://quartr.com/companies/venture-life-group-plc_20061?utm_source=api&utm_medium=25
SUS,2026-09-29,INTERIM,S & U PLC,https://quartr.com/companies/su-plc_13899?utm_source=api&utm_medium=25
BOW,2026-09-29,INTERIM,Bow Street Group PLC,https://quartr.com/companies/bow-street-group-plc_20532?utm_source=api&utm_medium=25
FUM,2026-09-29,INTERIM,Futura Medical PLC,https://quartr.com/companies/futura-medical-plc_20404?utm_source=api&utm_medium=25
CARD,2026-09-29,INTERIM,Card Factory PLC,https://quartr.com/companies/card-factory-plc_11989?utm_source=api&utm_medium=25
BAG,2026-09-30,INTERIM,A.G. Barr PLC,https://quartr.com/companies/ag-barr-plc_14277?utm_source=api&utm_medium=25
SAGA,2026-09-30,INTERIM,Saga PLC,https://quartr.com/companies/saga-plc_14342?utm_source=api&utm_medium=25
LIT,2026-09-30,PRELIM,Litigation Capital Management Ltd.,https://quartr.com/companies/litigation-capital-management-limited_11982?utm_source=api&utm_medium=25
TPT,2026-10-01,TRADING_STMT,Topps Tiles PLC,https://quartr.com/companies/topps-tiles-plc_14301?utm_source=api&utm_medium=25
JHD,2026-10-01,PRELIM,James Halstead PLC,https://quartr.com/companies/james-halstead-plc_14740?utm_source=api&utm_medium=25
IHC,2026-10-02,INTERIM,Inspiration Healthcare Group PLC,https://quartr.com/companies/inspiration-healthcare-group-plc_20056?utm_source=api&utm_medium=25
JDW,2026-10-02,PRELIM,J D Wetherspoon PLC,https://quartr.com/companies/j-d-wetherspoon-plc_14206?utm_source=api&utm_medium=25
MNTN,2026-10-05,INTERIM,The Schiehallion Fund Ltd.,https://quartr.com/companies/the-schiehallion-fund-limited_15116?utm_source=api&utm_medium=25
ICGT,2026-10-06,QUARTERLY,ICG Enterprise Trust PLC,https://quartr.com/companies/icg-enterprise-trust-plc_15103?utm_source=api&utm_medium=25
UTG,2026-10-08,TRADING_STMT,Unite Group PLC,https://quartr.com/companies/unite-group-plc_13506?utm_source=api&utm_medium=25
TSCO,2026-10-08,QUARTERLY,Tesco PLC,https://quartr.com/companies/tesco-plc_11041?utm_source=api&utm_medium=25
RENX,2026-10-08,PRELIM,Renalytix PLC,https://quartr.com/companies/renalytix-plc_10519?utm_source=api&utm_medium=25
VTU,2026-10-08,INTERIM,Vertu Motors PLC,https://quartr.com/companies/vertu-motors-plc_11432?utm_source=api&utm_medium=25
HAS,2026-10-09,TRADING_STMT,Hays PLC,https://quartr.com/companies/hays-plc_13353?utm_source=api&utm_medium=25
VOX,2026-10-12,PRELIM,Vox Valor Capital Ltd.,https://quartr.com/companies/vox-valor-capital-limited_14294?utm_source=api&utm_medium=25
OXIG,2026-10-13,TRADING_STMT,Oxford Instruments PLC,https://quartr.com/companies/oxford-instruments-plc_14138?utm_source=api&utm_medium=25
IHP,2026-10-13,TRADING_STMT,Integrafin Holdings PLC,https://quartr.com/companies/integrafin-holdings-plc_14203?utm_source=api&utm_medium=25
YOU,2026-10-13,PRELIM,YouGov PLC,https://quartr.com/companies/yougov-plc_14751?utm_source=api&utm_medium=25
MNDI,2026-10-15,TRADING_STMT,Mondi PLC,https://quartr.com/companies/mondi-plc_5166?utm_source=api&utm_medium=25
DNLM,2026-10-15,TRADING_STMT,Dunelm Group PLC,https://quartr.com/companies/dunelm-group-plc_5037?utm_source=api&utm_medium=25
WTB,2026-10-15,INTERIM,Whitbread PLC,https://quartr.com/companies/whitbread-plc_12459?utm_source=api&utm_medium=25
APN,2026-10-16,PRELIM,Applied Nutrition PLC,https://quartr.com/companies/applied-nutrition-plc_18698?utm_source=api&utm_medium=25
TOWN,2026-10-16,PRELIM,Town Centre Securities PLC,https://quartr.com/companies/town-centre-securities-plc_20672?utm_source=api&utm_medium=25
RKT,2026-10-21,TRADING_STMT,Reckitt Benckiser Group PLC,https://quartr.com/companies/reckitt-benckiser-group-plc_3533?utm_source=api&utm_medium=25
LIO,2026-10-21,TRADING_STMT,Liontrust Asset Management PLC,https://quartr.com/companies/liontrust-asset-management-plc_14231?utm_source=api&utm_medium=25
QLT,2026-10-21,TRADING_STMT,Quilter PLC,https://quartr.com/companies/quilter-plc_14175?utm_source=api&utm_medium=25
ABDN,2026-10-21,TRADING_STMT,Aberdeen Group PLC,https://quartr.com/companies/aberdeen-group-plc_12127?utm_source=api&utm_medium=25
PBEE,2026-10-21,TRADING_STMT,PensionBee Group PLC,https://quartr.com/companies/pensionbee-group-plc_15604?utm_source=api&utm_medium=25
SRT,2026-10-21,PRELIM,SRT Marine Systems PLC,https://quartr.com/companies/srt-marine-systems-plc_19869?utm_source=api&utm_medium=25
SCT,2026-10-21,PRELIM,Softcat PLC,https://quartr.com/companies/softcat-plc_13557?utm_source=api&utm_medium=25
RSW,2026-10-22,TRADING_STMT,Renishaw PLC,https://quartr.com/companies/renishaw-plc_12045?utm_source=api&utm_medium=25
AJB,2026-10-22,TRADING_STMT,AJ Bell PLC,https://quartr.com/companies/aj-bell-plc_11987?utm_source=api&utm_medium=25
INCH,2026-10-22,TRADING_STMT,Inchcape PLC,https://quartr.com/companies/inchcape-plc_13301?utm_source=api&utm_medium=25
